DEPTH,CALI,DT,NPHI,PHIE,RHOB,SW,litho,VCLC,VDOL,VOL_SHALE,VSAN .V/V
2629.8144,6.5461,77.4236,0.1956,0.0731,2.3482,0.2028,2,0.0,0.0,0.3942,0.4691
2629.9668,6.632,78.2134,0.18,0.0987,2.3322,0.1957,6,0.0,0.0,0.3268,0.5219
2630.1192,6.0052,87.3241,0.1595,0.1376,2.3146,0.1717,6,0.0,0.0,0.2754,0.5425
2630.2716,5.7034,88.606,0.1501,0.1683,2.2966,0.1846,6,0.0,0.0,0.2066,0.5918
2630.424,5.6954,92.6731,0.1437,0.1911,2.2786,0.1796,6,0.0,0.0,0.178,0.6022
2630.5764,5.9032,93.597,0.145,0.2016,2.2677,0.1984,6,0.0,0.0,0.1647,0.6072
2630.7288,6.0398,95.7293,0.1577,0.2031,2.2638,0.2184,6,0.0,0.0,0.1899,0.5764
2630.8812,5.9559,95.6463,0.1665,0.2066,2.26,0.2466,6,0.0,0.0,0.1916,0.5709
2631.0336,5.865,94.975,0.1696,0.2118,2.2575,0.2675,6,0.0,0.0,0.1783,0.5812
2631.186,5.8315,95.096,0.1605,0.209,2.2595,0.263,6,0.0,0.0,0.1761,0.5865
2631.3384,6.0368,92.659,0.164,0.2036,2.2615,0.2593,6,0.0,0.0,0.1763,0.5917
2631.4908,5.9097,94.2463,0.1683,0.2008,2.2636,0.2387,6,0.0,0.0,0.1971,0.5703
2631.6432,5.7153,94.1045,0.1777,0.203,2.2574,0.2141,6,0.0,0.0,0.2025,0.5618
2631.7956,5.762,94.3123,0.1691,0.2063,2.2508,0.1975,6,0.0,0.0,0.1906,0.5724
2631.948,5.7948,96.7809,0.1632,0.2141,2.2441,0.173,6,0.0,0.0,0.1842,0.572
2632.1004,5.7947,96.6068,0.1585,0.2137,2.2509,0.163,6,0.0,0.0,0.1761,0.5819
2632.2528,5.7906,95.0304,0.1549,0.2072,2.2646,0.1584,6,0.0,0.0,0.172,0.5932
2632.4052,5.7221,93.0078,0.1541,0.2002,2.2783,0.153,6,0.0,0.0,0.1688,0.6037
2632.5576,5.7707,91.757,0.157,0.1989,2.2863,0.1453,6,0.0,0.0,0.1629,0.6119
2632.71,5.8196,91.9839,0.1628,0.2062,2.2847,0.1363,6,0.0,0.0,0.152,0.6173
2632.8624,5.7824,89.8619,0.1599,0.2081,2.2831,0.1372,6,0.0,0.0,0.1312,0.6395
2633.0148,5.5614,92.2233,0.1528,0.2056,2.281,0.124,6,0.0,0.0,0.1468,0.6239
2633.1672,5.8606,92.1392,0.1523,0.1919,2.2751,0.1283,6,0.0,0.0,0.1836,0.5948
2633.3196,5.8867,92.134,0.1655,0.1719,2.2693,0.1186,6,0.0,0.0,0.2519,0.5357
2633.472,5.853,97.9068,0.1878,0.1567,2.2634,0.0772,2,0.0,0.0,0.3538,0.4324
2633.6244,5.9711,94.4726,0.2118,0.1214,2.2802,0.0326,2,0.0,0.0,0.4378,0.3702
2633.7768,6.7863,94.5622,0.2293,0.0805,2.3022,0.0011,5,0.0,0.0,0.5477,0.2835
2633.9292,6.8236,89.5067,0.2284,0.0557,2.3242,0.0,5,0.0,0.0,0.5645,0.2889
2634.0816,7.0204,89.1651,0.1923,0.0377,2.3531,0.0,5,0.0,0.0,0.5579,0.3145
2634.234,6.0732,89.0013,0.1743,0.0368,2.388,0.0,5,0.0,0.0,0.5244,0.3543
2634.3864,5.6553,88.8374,0.1641,0.0394,2.4229,0.0,2,0.0,0.0,0.4911,0.3904
2634.5388,5.7971,88.6736,0.1646,0.0335,2.4451,0.0,2,0.0,0.0,0.4951,0.3916
2634.6912,5.7909,88.5098,0.1752,0.0385,2.4304,0.0003,2,0.0,0.0,0.4981,0.3831
2634.8436,5.6006,88.346,0.1655,0.0509,2.4156,0.0224,2,0.0,0.0,0.4638,0.4106
2634.996,5.5953,88.1822,0.1584,0.0791,2.4009,0.124,2,0.0,0.0,0.3905,0.4674
2635.1484,5.6645,88.0184,0.1569,0.1085,2.3812,0.1339,6,0.0,0.0,0.3224,0.5171
2635.3008,5.7522,87.8546,0.1605,0.1285,2.3615,0.1264,6,0.0,0.0,0.2826,0.5433
2635.4532,5.8002,87.6674,0.15,0.1467,2.3417,0.1297,6,0.0,0.0,0.2339,0.5817
2635.6056,5.6946,86.6917,0.1503,0.1478,2.3454,0.1182,6,0.0,0.0,0.2228,0.5935
2635.758,5.5858,86.6094,0.1502,0.1433,2.3596,0.0975,6,0.0,0.0,0.2267,0.5934
2635.9104,5.6554,85.9679,0.1366,0.1431,2.3738,0.0932,6,0.0,0.0,0.2024,0.6219
2636.0628,5.7761,82.0081,0.1311,0.1344,2.3974,0.0956,6,0.0,0.0,0.1803,0.6563
2636.2152,5.8275,77.2039,0.1254,0.1195,2.4347,0.1039,6,0.0,0.0,0.1624,0.692
